Vote,Ayes,Noes
Abortion Legislation Bill — In Committee—Part 1,Stuart Nash!Jan Tinetti!Kiritapu Allan!Damien O'Connor!Rino Tirikatene!Ginny Andersen!Willie Jackson!Greg O'Connor!David Parker!Philip Twyford!Willow-Jean Prime!Louise Upston!Chris Bishop!Grant Robertson!Brooke van Velden!Tāmati Coffey!Barbara Kuriger!Liz Craig!Adrian Rurawhe!Deborah Russell!Angela Warren-Clark!Marama Davidson!Andrew Little!Eugenie Sage!Duncan Webb!Kelvin Davis!Jan Logie!Jenny Salesa!Meka Whaitiri!Matt Doocey!Maria Lubeck!Carmel Sepuloni!Nicola Willis!Paul Eagle!Jo Luxton!David Seymour!Michael Wood!Nanaia Mahuta!James Shaw!Michael Woodhouse!Scott Simpson!Megan Woods!JulieAnne Genter!Kieran McAnulty!AupitoWilliam Sio!Golriz Ghahraman!Todd McClay!Erica Stanford!Peeni Henare!Ian McKelvie!Jamie Strange!Chris Hipkins!Mark Mitchell!Chlöe Swarbrick!,Paul Goldsmith!Stuart Smith!Andrew Bayly!Todd Muller!David Bennett!Harete Hipango!Simon O'Connor!Simeon Brown!Gerry Brownlee!Melissa Lee!Chris Penk!David Clark!Maureen Pugh!Jacqui Dean!Shane Reti!
Abortion Legislation Bill — In Committee—Part 1,Simon O'Connor!Rino Tirikatene!Louise Upston!David Bennett!Harete Hipango!Chris Penk!Maureen Pugh!Meka Whaitiri!Simeon Brown!Melissa Lee!Shane Reti!Michael Woodhouse!Gerry Brownlee!Adrian Rurawhe!Jacqui Dean!Jenny Salesa!Nanaia Mahuta!Mark Mitchell!Paul Goldsmith!Todd Muller!Jamie Strange!,Golriz Ghahraman!Kieran McAnulty!Stuart Smith!Kiritapu Allan!Peeni Henare!Todd McClay!Erica Stanford!Ginny Andersen!Chris Hipkins!Ian McKelvie!Chlöe Swarbrick!Stuart Nash!Jan Tinetti!Andrew Bayly!Damien O'Connor!Willie Jackson!Greg O'Connor!Philip Twyford!David Parker!Brooke van Velden!Chris Bishop!David Clark!Barbara Kuriger!Willow-Jean Prime!Angela Warren-Clark!Tāmati Coffey!Priyanca Radhakrishnan!Duncan Webb!Liz Craig!Grant Robertson!Arena Williams!Andrew Little!Nicola Willis!Marama Davidson!Jan Logie!Deborah Russell!Michael Wood!Kelvin Davis!Maria Lubeck!Eugenie Sage!Megan Woods!Matt Doocey!Jo Luxton!Carmel Sepuloni!Paul Eagle!David Seymour!James Shaw!Scott Simpson!JulieAnne Genter!AupitoWilliam Sio!
Abortion Legislation Bill — In Committee—Part 1,Harete Hipango!Simon O'Connor!Brooke van Velden!Simeon Brown!Michael Woodhouse!Gerry Brownlee!Chris Penk!Jacqui Dean!Melissa Lee!Maureen Pugh!Shane Reti!Mark Mitchell!Paul Goldsmith!Todd Muller!Louise Upston!,Golriz Ghahraman!Todd McClay!Erica Stanford!Kiritapu Allan!Ian McKelvie!Jamie Strange!Ginny Andersen!Peeni Henare!Chlöe Swarbrick!Chris Hipkins!Stuart Nash!Damien O'Connor!Jan Tinetti!Andrew Bayly!Greg O'Connor!Rino Tirikatene!David Bennett!David Parker!Willie Jackson!Philip Twyford!Chris Bishop!Willow-Jean Prime!Priyanca Radhakrishnan!Barbara Kuriger!Grant Robertson!Angela Warren-Clark!David Clark!Duncan Webb!Tāmati Coffey!Andrew Little!Adrian Rurawhe!Meka Whaitiri!Liz Craig!Jan Logie!Deborah Russell!Arena Williams!Maria Lubeck!Eugenie Sage!Nicola Willis!Marama Davidson!Jo Luxton!Jenny Salesa!Michael Wood!Kelvin Davis!Nanaia Mahuta!Carmel Sepuloni!Megan Woods!Matt Doocey!David Seymour!Paul Eagle!James Shaw!Scott Simpson!AupitoWilliam Sio!JulieAnne Genter!Kieran McAnulty!Stuart Smith!
Abortion Legislation Bill — In Committee—Part 1,David Clark!David Seymour!Marama Davidson!Maria Lubeck!James Shaw!JulieAnne Genter!Chlöe Swarbrick!Golriz Ghahraman!Eugenie Sage!Jan Logie!,Paul Goldsmith!Ian McKelvie!Kiritapu Allan!Stuart Smith!Ginny Andersen!Mark Mitchell!Erica Stanford!Peeni Henare!Todd Muller!Jamie Strange!Harete Hipango!Stuart Nash!Chris Hipkins!Jan Tinetti!Damien O'Connor!Rino Tirikatene!Andrew Bayly!Greg O'Connor!David Bennett!Willie Jackson!Simon O'Connor!Philip Twyford!David Parker!Louise Upston!Brooke van Velden!Chris Bishop!Chris Penk!Simeon Brown!Barbara Kuriger!Gerry Brownlee!Willow-Jean Prime!Angela Warren-Clark!Melissa Lee!Maureen Pugh!Duncan Webb!Tāmati Coffey!Priyanca Radhakrishnan!Meka Whaitiri!Liz Craig!Andrew Little!Shane Reti!Arena Williams!Grant Robertson!Nicola Willis!Kelvin Davis!Jo Luxton!Michael Woodhouse!Jacqui Dean!Adrian Rurawhe!Megan Woods!Matt Doocey!Nanaia Mahuta!Deborah Russell!Jenny Salesa!Paul Eagle!Carmel Sepuloni!Kieran McAnulty!Scott Simpson!Todd McClay!AupitoWilliam Sio!
Abortion Legislation Bill — In Committee—Part 1,Todd Muller!Louise Upston!David Bennett!Harete Hipango!Brooke van Velden!Simon O'Connor!Meka Whaitiri!Chris Penk!Simeon Brown!Melissa Lee!Maureen Pugh!Gerry Brownlee!Shane Reti!Jacqui Dean!Adrian Rurawhe!Nanaia Mahuta!Todd McClay!Paul Goldsmith!Ian McKelvie!Jamie Strange!Mark Mitchell!Rino Tirikatene!,Golriz Ghahraman!Erica Stanford!Kiritapu Allan!Peeni Henare!Stuart Nash!Chlöe Swarbrick!Ginny Andersen!Chris Hipkins!Damien O'Connor!Greg O'Connor!Jan Tinetti!David Parker!Andrew Bayly!Philip Twyford!Chris Bishop!Willie Jackson!Willow-Jean Prime!David Clark!Priyanca Radhakrishnan!Angela Warren-Clark!Tāmati Coffey!Barbara Kuriger!Grant Robertson!Duncan Webb!Liz Craig!Arena Williams!Andrew Little!Deborah Russell!Nicola Willis!Marama Davidson!Jan Logie!Eugenie Sage!Michael Wood!Kelvin Davis!Maria Lubeck!Jenny Salesa!Michael Woodhouse!Matt Doocey!Carmel Sepuloni!Megan Woods!Paul Eagle!David Seymour!James Shaw!Scott Simpson!JulieAnne Genter!Kieran McAnulty!Stuart Smith!
Abortion Legislation Bill — Second Reading,JulieAnne Genter!Kieran McAnulty!Stuart Smith!Kiritapu Allan!Golriz Ghahraman!Ian McKelvie!Erica Stanford!Ginny Andersen!Peeni Henare!Chlöe Swarbrick!Chris Hipkins!Mark Mitchell!Stuart Nash!Jan Tinetti!Andrew Bayly!Damien O'Connor!David Bennett!Greg O'Connor!Philip Twyford!Willie Jackson!David Parker!Brooke van Velden!Chris Bishop!Angela Warren-Clark!David Clark!Barbara Kuriger!Willow-Jean Prime!Duncan Webb!Tāmati Coffey!Priyanca Radhakrishnan!Arena Williams!Judith Collins!Grant Robertson!Nicola Willis!Liz Craig!Andrew Little!Michael Wood!Jan Logie!Deborah Russell!Megan Woods!Marama Davidson!Maria Lubeck!Eugenie Sage!Kelvin Davis!Jo Luxton!Carmel Sepuloni!Matt Doocey!David Seymour!Paul Eagle!James Shaw!Scott Simpson!AupitoWilliam Sio!,Harete Hipango!Chris Penk!Meka Whaitiri!Maureen Pugh!Michael Woodhouse!Melissa Lee!Shane Reti!Simeon Brown!Adrian Rurawhe!Jacqui Dean!Nanaia Mahuta!Jenny Salesa!Paul Goldsmith!Simon O'Connor!Jamie Strange!Rino Tirikatene!
End of Life Choice Bill — Third Reading,JulieAnne Genter!David Seymour!Kiritapu Allan!Golriz Ghahraman!James Shaw!Ginny Andersen!Peeni Henare!Scott Simpson!Chris Hipkins!Stuart Smith!Kieran McAnulty!Erica Stanford!Chlöe Swarbrick!Chris Bishop!Mark Mitchell!Tāmati Coffey!Willie Jackson!Stuart Nash!Brooke van Velden!Judith Collins!Greg O'Connor!Liz Craig!David Parker!Angela Warren-Clark!Duncan Webb!Marama Davidson!Barbara Kuriger!Nicola Willis!Kelvin Davis!Willow-Jean Prime!Megan Woods!Matt Doocey!Andrew Little!Priyanca Radhakrishnan!Jan Logie!Grant Robertson!Paul Eagle!Maria Lubeck!Jo Luxton!Eugenie Sage!Nanaia Mahuta!Carmel Sepuloni!Jan Tinetti!,Simon O'Connor!Andrew Bayly!Philip Twyford!David Bennett!Harete Hipango!Chris Penk!Louise Upston!Maureen Pugh!Shane Reti!Simeon Brown!Melissa Lee!Adrian Rurawhe!Meka Whaitiri!Gerry Brownlee!Deborah Russell!Arena Williams!Jenny Salesa!Michael Wood!David Clark!Todd McClay!Michael Woodhouse!Jacqui Dean!Ian McKelvie!AupitoWilliam Sio!Todd Muller!Jamie Strange!Paul Goldsmith!Damien O'Connor!Rino Tirikatene!
End of Life Choice Bill — In Committee—Part 3,Golriz Ghahraman!James Shaw!Kiritapu Allan!Peeni Henare!Scott Simpson!Ginny Andersen!Chris Hipkins!Stuart Smith!Kieran McAnulty!Erica Stanford!Mark Mitchell!Chlöe Swarbrick!Mark Mitchell!Chris Bishop!Willie Jackson!Stuart Nash!Jan Tinetti!Tāmati Coffey!Greg O'Connor!Judith Collins!David Parker!Angela Warren-Clark!Liz Craig!Duncan Webb!Barbara Kuriger!Nicola Willis!Marama Davidson!Willow-Jean Prime!Megan Woods!Kelvin Davis!Andrew Little!Priyanca Radhakrishnan!Matt Doocey!Jan Logie!Grant Robertson!Maria Lubeck!Paul Eagle!Jo Luxton!Eugenie Sage!Nanaia Mahuta!Carmel Sepuloni!JulieAnne Genter!David Seymour!,Simon O'Connor!Andrew Bayly!Philip Twyford!David Bennett!Harete Hipango!Chris Penk!Brooke van Velden!Maureen Pugh!Shane Reti!Simeon Brown!Melissa Lee!Adrian Rurawhe!Meka Whaitiri!Gerry Brownlee!Deborah Russell!Arena Williams!Jenny Salesa!Michael Wood!David Clark!Todd McClay!Michael Woodhouse!Jacqui Dean!Ian McKelvie!AupitoWilliam Sio!Todd Muller!Jamie Strange!Paul Goldsmith!Damien O'Connor!Rino Tirikatene!
End of Life Choice Bill — In Committee—Part 3,Andrew Bayly!Harete Hipango!Chris Penk!David Bennett!Maureen Pugh!Meka Whaitiri!Melissa Lee!Shane Reti!Arena Williams!Simeon Brown!Adrian Rurawhe!Michael Woodhouse!Gerry Brownlee!Jenny Salesa!Todd McClay!David Clark!Ian McKelvie!Jacqui Dean!Todd Muller!Jamie Strange!Rino Tirikatene!Damien O'Connor!Simon O'Connor!Philip Twyford!,Paul Goldsmith!AupitoWilliam Sio!Kiritapu Allan!Peeni Henare!Stuart Smith!Ginny Andersen!Chris Hipkins!Kieran McAnulty!Erica Stanford!Mark Mitchell!Chlöe Swarbrick!Mark Mitchell!Stuart Nash!Jan Tinetti!Willie Jackson!Greg O'Connor!Brooke van Velden!Chris Bishop!David Parker!Tāmati Coffey!Angela Warren-Clark!Judith Collins!Duncan Webb!Liz Craig!Barbara Kuriger!Willow-Jean Prime!Nicola Willis!Priyanca Radhakrishnan!Michael Wood!Marama Davidson!Grant Robertson!Megan Woods!Kelvin Davis!Andrew Little!Matt Doocey!Jan Logie!Deborah Russell!Maria Lubeck!Eugenie Sage!Paul Eagle!Jo Luxton!Carmel Sepuloni!Nanaia Mahuta!David Seymour!JulieAnne Genter!James Shaw!Golriz Ghahraman!Scott Simpson!
End of Life Choice Bill — In Committee—Part 3,Simon O'Connor!Louise Upston!Andrew Bayly!Brooke van Velden!David Bennett!Harete Hipango!Chris Penk!Maureen Pugh!Shane Reti!Meka Whaitiri!Simeon Brown!Melissa Lee!Adrian Rurawhe!Arena Williams!Gerry Brownlee!Jenny Salesa!Michael Wood!Michael Woodhouse!David Clark!Todd McClay!Jacqui Dean!Ian McKelvie!Jamie Strange!Todd Muller!Rino Tirikatene!Paul Goldsmith!Damien O'Connor!Philip Twyford!,Kiritapu Allan!Golriz Ghahraman!David Seymour!Ginny Andersen!Peeni Henare!James Shaw!Chris Hipkins!Scott Simpson!Kieran McAnulty!AupitoWilliam Sio!Stuart Smith!Chris Bishop!Mark Mitchell!Erica Stanford!Tāmati Coffey!Willie Jackson!Stuart Nash!Chlöe Swarbrick!Judith Collins!Greg O'Connor!Liz Craig!David Parker!Jan Tinetti!Marama Davidson!Barbara Kuriger!Angela Warren-Clark!Kelvin Davis!Willow-Jean Prime!Duncan Webb!Matt Doocey!Andrew Little!Priyanca Radhakrishnan!Nicola Willis!Jan Logie!Grant Robertson!Megan Woods!Paul Eagle!Maria Lubeck!Jo Luxton!Deborah Russell!Nanaia Mahuta!Eugenie Sage!JulieAnne Genter!Carmel Sepuloni!
End of Life Choice Bill — In Committee—Part 3,Simon O'Connor!Louise Upston!Andrew Bayly!David Bennett!Harete Hipango!Chris Penk!Maureen Pugh!Meka Whaitiri!Shane Reti!Arena Williams!Simeon Brown!Melissa Lee!Adrian Rurawhe!Michael Wood!Gerry Brownlee!Jenny Salesa!Michael Woodhouse!David Clark!Todd McClay!Jacqui Dean!Ian McKelvie!Jamie Strange!Todd Muller!Rino Tirikatene!Paul Goldsmith!Damien O'Connor!Philip Twyford!,Kiritapu Allan!Peeni Henare!AupitoWilliam Sio!Ginny Andersen!Chris Hipkins!Kieran McAnulty!Stuart Smith!Erica Stanford!Mark Mitchell!Chlöe Swarbrick!Stuart Nash!Chris Bishop!Willie Jackson!Greg O'Connor!Jan Tinetti!Tāmati Coffey!David Parker!Brooke van Velden!Judith Collins!Liz Craig!Angela Warren-Clark!Barbara Kuriger!Willow-Jean Prime!Duncan Webb!Marama Davidson!Priyanca Radhakrishnan!Nicola Willis!Kelvin Davis!Andrew Little!Grant Robertson!Megan Woods!Matt Doocey!Jan Logie!Maria Lubeck!Deborah Russell!Paul Eagle!Jo Luxton!Eugenie Sage!Nanaia Mahuta!Carmel Sepuloni!David Seymour!JulieAnne Genter!James Shaw!Golriz Ghahraman!Scott Simpson!
End of Life Choice Bill — In Committee—Part 2,Chris Penk!Andrew Bayly!Harete Hipango!Maureen Pugh!David Bennett!Shane Reti!Meka Whaitiri!Melissa Lee!Adrian Rurawhe!Arena Williams!Simeon Brown!Jenny Salesa!Michael Woodhouse!Gerry Brownlee!Todd McClay!David Clark!Ian McKelvie!Jamie Strange!Jacqui Dean!Todd Muller!Rino Tirikatene!Simon O'Connor!Philip Twyford!Louise Upston!,Kiritapu Allan!Golriz Ghahraman!David Seymour!Ginny Andersen!Paul Goldsmith!James Shaw!Peeni Henare!Scott Simpson!Chris Hipkins!AupitoWilliam Sio!Kieran McAnulty!Stuart Smith!Erica Stanford!Chris Bishop!Chlöe Swarbrick!Tāmati Coffey!Willie Jackson!Stuart Nash!Judith Collins!Greg O'Connor!Jan Tinetti!Liz Craig!David Parker!Brooke van Velden!Marama Davidson!Barbara Kuriger!Angela Warren-Clark!Kelvin Davis!Willow-Jean Prime!Duncan Webb!Matt Doocey!Priyanca Radhakrishnan!Nicola Willis!Andrew Little!Grant Robertson!Megan Woods!Paul Eagle!Jan Logie!Maria Lubeck!Deborah Russell!Jo Luxton!Eugenie Sage!JulieAnne Genter!Nanaia Mahuta!Carmel Sepuloni!
End of Life Choice Bill — In Committee—Part 2,Simon O'Connor!Philip Twyford!Andrew Bayly!Louise Upston!David Bennett!Harete Hipango!Chris Penk!Maureen Pugh!Shane Reti!Meka Whaitiri!Simeon Brown!Melissa Lee!Adrian Rurawhe!Arena Williams!Gerry Brownlee!Jenny Salesa!Michael Wood!Michael Woodhouse!David Clark!Todd McClay!AupitoWilliam Sio!Jacqui Dean!Ian McKelvie!Todd Muller!Jamie Strange!Rino Tirikatene!Paul Goldsmith!Damien O'Connor!,Kiritapu Allan!Golriz Ghahraman!David Seymour!Ginny Andersen!Peeni Henare!James Shaw!Chris Hipkins!Scott Simpson!Kieran McAnulty!Stuart Smith!Erica Stanford!Chris Bishop!Mark Mitchell!Chlöe Swarbrick!Tāmati Coffey!Willie Jackson!Stuart Nash!Judith Collins!Greg O'Connor!Jan Tinetti!Liz Craig!David Parker!Brooke van Velden!Marama Davidson!Barbara Kuriger!Angela Warren-Clark!Kelvin Davis!Willow-Jean Prime!Duncan Webb!Matt Doocey!Andrew Little!Priyanca Radhakrishnan!Nicola Willis!Jan Logie!Grant Robertson!Megan Woods!Paul Eagle!Maria Lubeck!Jo Luxton!Deborah Russell!Nanaia Mahuta!Eugenie Sage!JulieAnne Genter!Carmel Sepuloni!
End of Life Choice Bill — In Committee—Part 2,Kiritapu Allan!Brooke van Velden!Chris Penk!Andrew Bayly!Harete Hipango!Maureen Pugh!David Bennett!Shane Reti!Meka Whaitiri!Adrian Rurawhe!Arena Williams!Melissa Lee!Jenny Salesa!Michael Wood!Simeon Brown!Michael Woodhouse!Gerry Brownlee!AupitoWilliam Sio!Todd McClay!David Clark!Ian McKelvie!Jamie Strange!Jacqui Dean!Todd Muller!Rino Tirikatene!Damien O'Connor!Philip Twyford!Paul Goldsmith!Simon O'Connor!Louise Upston!,Ginny Andersen!Peeni Henare!James Shaw!Chris Hipkins!Scott Simpson!Kieran McAnulty!Stuart Smith!Erica Stanford!Chris Bishop!Mark Mitchell!Chlöe Swarbrick!Tāmati Coffey!Willie Jackson!Stuart Nash!Judith Collins!Greg O'Connor!Jan Tinetti!Liz Craig!David Parker!Angela Warren-Clark!Marama Davidson!Barbara Kuriger!Duncan Webb!Kelvin Davis!Willow-Jean Prime!Nicola Willis!Matt Doocey!Andrew Little!Priyanca Radhakrishnan!Megan Woods!Jan Logie!Grant Robertson!Paul Eagle!Maria Lubeck!Jo Luxton!Deborah Russell!Nanaia Mahuta!Eugenie Sage!JulieAnne Genter!Carmel Sepuloni!Golriz Ghahraman!David Seymour!
End of Life Choice Bill — In Committee—Part 2,Kiritapu Allan!Chris Penk!Andrew Bayly!Harete Hipango!Maureen Pugh!Meka Whaitiri!David Bennett!Shane Reti!Arena Williams!Adrian Rurawhe!Michael Wood!Melissa Lee!Jenny Salesa!Michael Woodhouse!Simeon Brown!Gerry Brownlee!AupitoWilliam Sio!Todd McClay!David Clark!Ian McKelvie!Jamie Strange!Jacqui Dean!Todd Muller!Rino Tirikatene!Damien O'Connor!Philip Twyford!Paul Goldsmith!Simon O'Connor!Louise Upston!,Ginny Andersen!Peeni Henare!James Shaw!Chris Hipkins!Scott Simpson!Kieran McAnulty!Stuart Smith!Erica Stanford!Chris Bishop!Mark Mitchell!Chlöe Swarbrick!Tāmati Coffey!Willie Jackson!Stuart Nash!Judith Collins!Greg O'Connor!Jan Tinetti!Liz Craig!David Parker!Brooke van Velden!Marama Davidson!Barbara Kuriger!Angela Warren-Clark!Kelvin Davis!Willow-Jean Prime!Duncan Webb!Matt Doocey!Andrew Little!Priyanca Radhakrishnan!Nicola Willis!Jan Logie!Grant Robertson!Megan Woods!Paul Eagle!Maria Lubeck!Jo Luxton!Deborah Russell!Nanaia Mahuta!Eugenie Sage!JulieAnne Genter!Carmel Sepuloni!Golriz Ghahraman!David Seymour!
Abortion Legislation Bill — First Reading,Kiritapu Allan!Scott Simpson!Ginny Andersen!JulieAnne Genter!AupitoWilliam Sio!Golriz Ghahraman!Kieran McAnulty!Stuart Smith!Paul Goldsmith!Todd McClay!Erica Stanford!Ian McKelvie!Jamie Strange!Andrew Bayly!Peeni Henare!Chlöe Swarbrick!David Bennett!Chris Hipkins!Mark Mitchell!Todd Muller!Jan Tinetti!Stuart Nash!Chris Bishop!Damien O'Connor!Philip Twyford!Willie Jackson!Greg O'Connor!Brooke van Velden!David Parker!David Clark!Tāmati Coffey!Angela Warren-Clark!Judith Collins!Barbara Kuriger!Willow-Jean Prime!Duncan Webb!Liz Craig!Priyanca Radhakrishnan!Meka Whaitiri!Grant Robertson!Arena Williams!Marama Davidson!Andrew Little!Nicola Willis!Kelvin Davis!Jan Logie!Deborah Russell!Michael Wood!Matt Doocey!Maria Lubeck!Eugenie Sage!Megan Woods!Jo Luxton!Nanaia Mahuta!Carmel Sepuloni!Paul Eagle!David Seymour!James Shaw!,Maureen Pugh!Simeon Brown!Melissa Lee!Shane Reti!Gerry Brownlee!Adrian Rurawhe!Jacqui Dean!Jenny Salesa!Simon O'Connor!Rino Tirikatene!Harete Hipango!Chris Penk!Michael Woodhouse!Louise Upston!
End of Life Choice Bill — In Committee—Part 1,Simon O'Connor!Philip Twyford!David Bennett!Harete Hipango!Louise Upston!Chris Penk!Maureen Pugh!Simeon Brown!Melissa Lee!Adrian Rurawhe!Meka Whaitiri!Gerry Brownlee!Deborah Russell!Michael Wood!Jenny Salesa!Michael Woodhouse!David Clark!Todd McClay!Jacqui Dean!Ian McKelvie!Todd Muller!Jamie Strange!Rino Tirikatene!Paul Goldsmith!Damien O'Connor!,Golriz Ghahraman!AupitoWilliam Sio!Ginny Andersen!Peeni Henare!Stuart Smith!Chris Hipkins!Kieran McAnulty!Erica Stanford!Chlöe Swarbrick!Andrew Bayly!Mark Mitchell!Stuart Nash!Jan Tinetti!Chris Bishop!Willie Jackson!Greg O'Connor!Brooke van Velden!Tāmati Coffey!David Parker!Judith Collins!Angela Warren-Clark!Liz Craig!Duncan Webb!Barbara Kuriger!Willow-Jean Prime!Arena Williams!Marama Davidson!Priyanca Radhakrishnan!Nicola Willis!Kelvin Davis!Andrew Little!Grant Robertson!Megan Woods!Matt Doocey!Jan Logie!Maria Lubeck!Eugenie Sage!Paul Eagle!Jo Luxton!Carmel Sepuloni!Nanaia Mahuta!David Seymour!James Shaw!JulieAnne Genter!Scott Simpson!Kiritapu Allan!
End of Life Choice Bill — Second Reading,Peeni Henare!Scott Simpson!Ginny Andersen!Chris Hipkins!Stuart Smith!Kieran McAnulty!Erica Stanford!Chlöe Swarbrick!Mark Mitchell!Chris Bishop!Willie Jackson!Stuart Nash!Jan Tinetti!Tāmati Coffey!Greg O'Connor!Brooke van Velden!Judith Collins!David Parker!Liz Craig!Angela Warren-Clark!Barbara Kuriger!Duncan Webb!Marama Davidson!Willow-Jean Prime!Arena Williams!Kelvin Davis!Andrew Little!Priyanca Radhakrishnan!Nicola Willis!Matt Doocey!Jan Logie!Grant Robertson!Megan Woods!Paul Eagle!Maria Lubeck!Jo Luxton!Eugenie Sage!Carmel Sepuloni!JulieAnne Genter!David Seymour!Golriz Ghahraman!Nanaia Mahuta!James Shaw!,Kiritapu Allan!Paul Goldsmith!Damien O'Connor!Rino Tirikatene!Simon O'Connor!Andrew Bayly!Philip Twyford!David Bennett!Harete Hipango!Chris Penk!Louise Upston!Maureen Pugh!Shane Reti!Simeon Brown!Melissa Lee!Adrian Rurawhe!Meka Whaitiri!Gerry Brownlee!Deborah Russell!Michael Wood!Jenny Salesa!Michael Woodhouse!David Clark!Todd McClay!Jacqui Dean!Ian McKelvie!AupitoWilliam Sio!Todd Muller!Jamie Strange!
Sale and Supply of Alcohol (Renewal of Licences) Amendment Bill (No 2) — First Reading,Ginny Andersen!AupitoWilliam Sio!Stuart Nash!Jamie Strange!Willie Jackson!Greg O'Connor!Chlöe Swarbrick!David Clark!Damien O'Connor!Tāmati Coffey!David Parker!Jan Tinetti!Liz Craig!Rino Tirikatene!Andrew Little!Philip Twyford!Marama Davidson!Jan Logie!Willow-Jean Prime!Kelvin Davis!Maria Lubeck!Priyanca Radhakrishnan!Angela Warren-Clark!Jo Luxton!Grant Robertson!Duncan Webb!Paul Eagle!Nanaia Mahuta!Adrian Rurawhe!Meka Whaitiri!Deborah Russell!Arena Williams!JulieAnne Genter!Eugenie Sage!Michael Wood!Golriz Ghahraman!Jenny Salesa!Megan Woods!Peeni Henare!Carmel Sepuloni!Chris Hipkins!Kieran McAnulty!James Shaw!Kiritapu Allan!,Todd McClay!Erica Stanford!Ian McKelvie!Mark Mitchell!Louise Upston!Andrew Bayly!Paul Goldsmith!Todd Muller!Brooke van Velden!David Bennett!Chris Bishop!Simon O'Connor!Harete Hipango!Michael Woodhouse!Simeon Brown!Chris Penk!Gerry Brownlee!Shane Reti!Judith Collins!David Seymour!Jacqui Dean!Scott Simpson!Matt Doocey!Melissa Lee!Stuart Smith!Barbara Kuriger!
Misuse of Drugs (Medicinal Cannabis and Other Matters) Amendment Bill — First Reading,Kiritapu Allan!Golriz Ghahraman!Willow-Jean Prime!Rino Tirikatene!Ginny Andersen!Chris Hipkins!Priyanca Radhakrishnan!Philip Twyford!Grant Robertson!David Clark!Adrian Rurawhe!Angela Warren-Clark!Tāmati Coffey!Andrew Little!Deborah Russell!Duncan Webb!Liz Craig!Jan Logie!Eugenie Sage!Michael Wood!Maria Lubeck!Carmel Sepuloni!Megan Woods!Marama Davidson!Jo Luxton!David Seymour!Kelvin Davis!Nanaia Mahuta!James Shaw!AupitoWilliam Sio!Paul Eagle!Kieran McAnulty!Jamie Strange!Damien O'Connor!Chlöe Swarbrick!JulieAnne Genter!David Parker!Jan Tinetti!,Paul Goldsmith!Todd McClay!Stuart Smith!Ian McKelvie!Erica Stanford!Peeni Henare!Andrew Bayly!Harete Hipango!Mark Mitchell!David Bennett!Todd Muller!Louise Upston!Willie Jackson!Stuart Nash!Brooke van Velden!Chris Bishop!Greg O'Connor!Simeon Brown!Simon O'Connor!Meka Whaitiri!Gerry Brownlee!Arena Williams!Michael Woodhouse!Chris Penk!Judith Collins!Barbara Kuriger!Jacqui Dean!Shane Reti!Melissa Lee!Jenny Salesa!Scott Simpson!Matt Doocey!
End of Life Choice Bill — First Reading,Stuart Smith!Kiritapu Allan!Peeni Henare!Erica Stanford!Ginny Andersen!Harete Hipango!Kieran McAnulty!Chlöe Swarbrick!Chris Hipkins!Mark Mitchell!Stuart Nash!Jan Tinetti!Greg O'Connor!Chris Bishop!David Parker!Brooke van Velden!Tāmati Coffey!Willie Jackson!Liz Craig!Willow-Jean Prime!Angela Warren-Clark!Priyanca Radhakrishnan!Duncan Webb!Marama Davidson!Barbara Kuriger!Grant Robertson!Meka Whaitiri!Kelvin Davis!Michael Wood!Matt Doocey!Andrew Little!Adrian Rurawhe!Megan Woods!Jan Logie!Deborah Russell!Paul Eagle!Maria Lubeck!Eugenie Sage!Jo Luxton!Carmel Sepuloni!Nanaia Mahuta!David Seymour!JulieAnne Genter!James Shaw!Golriz Ghahraman!Scott Simpson!,Philip Twyford!Andrew Bayly!Paul Goldsmith!Damien O'Connor!Louise Upston!David Bennett!Simon O'Connor!Arena Williams!Simeon Brown!Chris Penk!Michael Woodhouse!Gerry Brownlee!Shane Reti!Jenny Salesa!David Clark!Melissa Lee!Judith Collins!AupitoWilliam Sio!Jacqui Dean!Todd McClay!Ian McKelvie!Jamie Strange!Todd Muller!Rino Tirikatene!
Shop Trading Hours Amendment Bill — Third Reading,Barbara Kuriger!Melissa Lee!David Seymour!Scott Simpson!Andrew Bayly!Todd McClay!Stuart Smith!David Bennett!Ian McKelvie!Chris Bishop!Paul Goldsmith!Mark Mitchell!Louise Upston!Todd Muller!Gerry Brownlee!Michael Woodhouse!Simon O'Connor!Judith Collins!Jacqui Dean!Maureen Pugh!Matt Doocey!Shane Reti!,Carmel Sepuloni!JulieAnne Genter!James Shaw!Stuart Nash!AupitoWilliam Sio!Damien O'Connor!David Clark!Peeni Henare!Chris Hipkins!Rino Tirikatene!David Parker!Philip Twyford!Andrew Little!Marama Davidson!Jan Logie!Grant Robertson!Meka Whaitiri!Kelvin Davis!Nanaia Mahuta!Arena Williams!Adrian Rurawhe!Megan Woods!Eugenie Sage!Jenny Salesa!
Shop Trading Hours Amendment Bill — In Committee,,
Shop Trading Hours Amendment Bill — Second Reading,,
Appointments — Abortion Supervisory Committee,Melissa Lee!Todd McClay!Michael Woodhouse!Jacqui Dean!Peeni Henare!,David Bennett!Carmel Sepuloni!Gerry Brownlee!Stuart Nash!David Parker!Philip Twyford!Kelvin Davis!Grant Robertson!
