Title,Subtitle,DateTime
WATER SERVICES ENTITIES AMENDMENT BILL,First Reading,2023-06-22 16:17:17
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 12 to Minister,2023-06-22 16:35:29
WATER SERVICES ENTITIES AMENDMENT BILL,First Reading,2023-06-22 16:36:10
URGENT DEBATES,Oranga Tamariki—Allegations of Inappropriate Sexual Behaviour by Staff in Oranga Tamariki Residences,2023-06-21 14:50:43
URGENT DEBATES DECLINED,Hon Michael Wood—Resignation,2023-06-21 14:51:28
URGENT DEBATES,Oranga Tamariki—Allegations of Inappropriate Sexual Behaviour by Staff in Oranga Tamariki Residences,2023-06-21 14:52:09
NGĀTI PAOA CLAIMS SETTLEMENT BILL,First Reading,2023-06-21 16:08:35
GROCERY INDUSTRY COMPETITION BILL,Third Reading,2023-06-21 20:01:55
DEPOSIT TAKERS BILL,In Committee,2023-06-21 21:05:56
PRIVILEGE,Disclosure of Select Committee Proceedings—Voting on Natural and Built Environment Bill,2023-06-20 14:01:04
NGĀTI HEI CLAIMS SETTLEMENT BILL,First Reading,2023-06-20 15:03:15
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 6 to Minister, 8 June",2023-06-20 16:27:18
GROCERY INDUSTRY COMPETITION BILL,In Committee,2023-06-20 16:29:41
CHARITIES AMENDMENT BILL,In Committee,2023-06-20 16:49:00
WORKER PROTECTION (MIGRANT AND OTHER EMPLOYEES) BILL,In Committee,2023-06-20 17:49:47
BUSINESS PAYMENT PRACTICES BILL,In Committee,2023-06-20 20:32:14
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 7 to Minister,2023-06-20 21:57:45
PERSONAL EXPLANATIONS,Annual Review Debate—Correction,2023-06-20 21:58:30
VISITORS,Commonwealth Parliamentary Association—UK Branch Delegation,2023-06-08 14:01:11
SPECIAL DEBATES,Local Issues,2023-06-08 14:51:39
STANDING ORDERS,Sessional,2023-06-08 16:22:14
HEALTH AND SAFETY AT WORK (HEALTH AND SAFETY REPRESENTATIVES AND COMMITTEES) AMENDMENT BILL,Third Reading,2023-06-08 16:22:56
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 11 to Minister,2023-06-08 16:35:20
CROWN MINERALS AMENDMENT BILL,Second Reading,2023-06-08 16:35:50
VISITORS,"Australia—House of Representatives Standing Committee on Regional Development, Infrastructure and Transport",2023-06-07 14:00:54
SPEAKER'S RULINGS,Oral Questions—Members Quoting Partial Statements,2023-06-07 14:01:22
NEW PLYMOUTH DISTRICT COUNCIL (PERPETUAL INVESTMENT FUND) BILL,In Committee,2023-06-07 15:59:35
EMPLOYMENT RELATIONS (EXTENDED TIME FOR PERSONAL GRIEVANCE FOR SEXUAL HARASSMENT) AMENDMENT BILL,Third Reading,2023-06-07 16:13:13
SALE AND SUPPLY OF ALCOHOL (EXEMPTION FOR RACE MEETINGS) AMENDMENT BILL,Third Reading,2023-06-07 16:23:54
COMPANIES (DIRECTORS DUTIES) AMENDMENT BILL,Second Reading,2023-06-07 19:00:00
HOUSING INFRASTRUCTURE (GST-SHARING) BILL,First Reading,2023-06-07 20:50:23
CROWN MINERALS (PROHIBITION OF MINING) AMENDMENT BILL,First Reading,2023-06-07 21:23:35
